 -1 3.601545  -3.468267
 -1 3.644843  -3.422736
 -1 3.687566  -3.376664
 -1 3.729706  -3.330059
 -1 3.771257  -3.282929
 -1 3.812213  -3.235280
 -1 3.852566  -3.187120
 -1 3.892312  -3.138457
 -1 3.931442  -3.089298
 -1 3.969952  -3.039651
 -1 4.007835  -2.989525
 -1 4.045085  -2.938926
 -1 4.081696  -2.887864
 -1 4.117663  -2.836345
 -1 4.152979  -2.784378
 -1 4.187640  -2.731972
 -1 4.221640  -2.679134
 -1 4.254972  -2.625873
 -1 4.287633  -2.572198
 -1 4.319617  -2.518116
 -1 4.350919  -2.463637
 -1 4.381533  -2.408768
 -1 4.411456  -2.353520
 -1 4.440682  -2.297899
 -1 4.469207  -2.241916
 -1 4.497026  -2.185579
 -1 4.524135  -2.128896
 -1 4.550530  -2.071878
 -1 4.576206  -2.014532
 -1 4.601159  -1.956868
 -1 4.625386  -1.898895
 -1 4.648882  -1.840623
 -1 4.671645  -1.782059
 -1 4.693669  -1.723215
 -1 4.714953  -1.664098
 -1 4.735492  -1.604718
 -1 4.755283  -1.545085
 -1 4.774323  -1.485208
 -1 4.792609  -1.425096
 -1 4.810138  -1.364760
 -1 4.826908  -1.304208
 -1 4.842916  -1.243449
 -1 4.858159  -1.182495
 -1 4.872634  -1.121354
 -1 4.886341  -1.060036
 -1 4.899275  -0.998550
 -1 4.911436  -0.936907
 -1 4.922822  -0.875115
 -1 4.933430  -0.813186
 -1 4.943259  -0.751128
 -1 4.952307  -0.688951
 -1 4.960574  -0.626666
 -1 4.968057  -0.564282
 -1 4.974755  -0.501809
 -1 4.980668  -0.439256
 -1 4.985795  -0.376634
 -1 4.990134  -0.313953
 -1 4.993685  -0.251222
 -1 4.996447  -0.188451
 -1 4.998421  -0.125650
 -1 4.999605  -0.062830
0   -3.500000  -3.164000
0   -3.485972  -3.163154
0   -3.471944  -3.162312
0   -3.457916  -3.161473
0   -3.443888  -3.160637
0   -3.429860  -3.159805
0   -3.415832  -3.158977
0   -3.401804  -3.158151
0   -3.387776  -3.157329
0   -3.373747  -3.156511
0   -3.359719  -3.155696
0   -3.345691  -3.154884
0   -3.331663  -3.154076
0   -3.317635  -3.153271
0   -3.303607  -3.152469
0   -3.289579  -3.151671
0   -3.275551  -3.150877
0   -3.261523  -3.150085
0   -3.247495  -3.149298
0   -3.233467  -3.148513
0   -3.219439  -3.147732
0   -3.205411  -3.146955
0   -3.191383  -3.146180
0   -3.177355  -3.145410
0   -3.163327  -3.144642
0   -3.149299  -3.143878
0   -3.135271  -3.143118
0   -3.121242  -3.142360
0   -3.107214  -3.141607
0   -3.093186  -3.140856
0   -3.079158  -3.140109
0   -3.065130  -3.139366
0   -3.051102  -3.138626
0   -3.037074  -3.137889
0   -3.023046  -3.137155
0   -3.009018  -3.136425
0   -2.994990  -3.135699
0   -2.980962  -3.134976
0   -2.966934  -3.134256
0   -2.952906  -3.133540
0   -2.938878  -3.132827
0   -2.924850  -3.132117
0   -2.910822  -3.131411
0   -2.896794  -3.130708
0   -2.882766  -3.130009
0   -2.868737  -3.129313
0   -2.854709  -3.128621
0   -2.840681  -3.127932
0   -2.826653  -3.127246
0   -2.812625  -3.126564
0   -2.798597  -3.125885
0   -2.784569  -3.125209
0   -2.770541  -3.124537
0   -2.756513  -3.123868
0   -2.742485  -3.123203
0   -2.728457  -3.122541
0   -2.714429  -3.121883
0   -2.700401  -3.121228
0   -2.686373  -3.120576
0   -2.672345  -3.119928
0   -2.658317  -3.119283
0   -2.644289  -3.118641
0   -2.630261  -3.118003
0   -2.616232  -3.117369
0   -2.602204  -3.116737
0   -2.588176  -3.116110
0   -2.574148  -3.115485
0   -2.560120  -3.114864
0   -2.546092  -3.114246
0   -2.532064  -3.113632
0   -2.518036  -3.113021
0   -2.504008  -3.112414
0   -2.489980  -3.111810
0   -2.475952  -3.111209
0   -2.461924  -3.110612
0   -2.447896  -3.110018
0   -2.433868  -3.109427
0   -2.419840  -3.108840
0   -2.405812  -3.108257
0   -2.391784  -3.107676
0   -2.377756  -3.107099
0   -2.363727  -3.106526
0   -2.349699  -3.105956
0   -2.335671  -3.105389
0   -2.321643  -3.104826
0   -2.307615  -3.104266
0   -2.293587  -3.103710
0   -2.279559  -3.103157
0   -2.265531  -3.102607
0   -2.251503  -3.102061
0   -2.237475  -3.101518
0   -2.223447  -3.100978
0   -2.209419  -3.100442
0   -2.195391  -3.099909
0   -2.181363  -3.099380
0   -2.167335  -3.098854
0   -2.153307  -3.098332
0   -2.139279  -3.097813
0   -2.125251  -3.097297
0   -2.111222  -3.096785
0   -2.097194  -3.096276
0   -2.083166  -3.095770
0   -2.069138  -3.095268
0   -2.055110  -3.094769
0   -2.041082  -3.094274
0   -2.027054  -3.093782
0   -2.013026  -3.093294
0   -1.998998  -3.092808
0   -1.984970  -3.092327
0   -1.970942  -3.091848
0   -1.956914  -3.091373
0   -1.942886  -3.090902
0   -1.928858  -3.090434
0   -1.914830  -3.089969
0   -1.900802  -3.089508
0   -1.886774  -3.089050
0   -1.872745  -3.088595
0   -1.858717  -3.088144
0   -1.844689  -3.087696
0   -1.830661  -3.087252
0   -1.816633  -3.086811
0   -1.802605  -3.086373
0   -1.788577  -3.085939
0   -1.774549  -3.085508
0   -1.760521  -3.085081
0   -1.746493  -3.084657
0   -1.732465  -3.084236
0   -1.718437  -3.083819
0   -1.704409  -3.083405
0   -1.690381  -3.082995
0   -1.676353  -3.082588
0   -1.662325  -3.082184
0   -1.648297  -3.081784
0   -1.634269  -3.081387
0   -1.620240  -3.080993
0   -1.606212  -3.080603
0   -1.592184  -3.080217
0   -1.578156  -3.079833
0   -1.564128  -3.079454
0   -1.550100  -3.079077
0   -1.536072  -3.078704
0   -1.522044  -3.078334
0   -1.508016  -3.077968
0   -1.493988  -3.077605
0   -1.479960  -3.077246
0   -1.465932  -3.076890
0   -1.451904  -3.076537
0   -1.437876  -3.076187
0   -1.423848  -3.075842
0   -1.409820  -3.075499
0   -1.395792  -3.075160
0   -1.381764  -3.074824
0   -1.367735  -3.074492
0   -1.353707  -3.074163
0   -1.339679  -3.073837
0   -1.325651  -3.073515
0   -1.311623  -3.073196
0   -1.297595  -3.072881
0   -1.283567  -3.072569
0   -1.269539  -3.072260
0   -1.255511  -3.071955
0   -1.241483  -3.071653
0   -1.227455  -3.071355
0   -1.213427  -3.071060
0   -1.199399  -3.070768
0   -1.185371  -3.070480
0   -1.171343  -3.070195
0   -1.157315  -3.069913
0   -1.143287  -3.069635
0   -1.129259  -3.069361
0   -1.115230  -3.069089
0   -1.101202  -3.068821
0   -1.087174  -3.068557
0   -1.073146  -3.068296
0   -1.059118  -3.068038
0   -1.045090  -3.067784
0   -1.031062  -3.067533
0   -1.017034  -3.067285
