ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5379.278634    5004.413227     196.210327     178.655081   -1.407735e-004   8.176854e-004   -6.127714e-010   0.000000e+000   6.836790e-010   -1.208532e-009   -8.791827e-011
 5376.375065    4999.360933     197.017977     179.996155   5.478130e-003   4.566314e-003   9.749253e-011   0.000000e+000   -2.326783e-009   1.496887e-009   9.273889e-010
 5383.415257    4999.083680     203.472093     180.859485   -9.918300e-003   -4.646131e-003   1.081798e-009   0.000000e+000   1.640418e-009   -1.733695e-009   1.175076e-009
 5375.921949    5005.053716     196.588030     174.280203   -6.964402e-003   4.171523e-003   2.382483e-009   0.000000e+000   1.001122e-009   1.226462e-009   1.548982e-010
 5377.722998    4998.038510     198.518156     181.166332   1.968411e-003   2.759275e-003   -2.776422e-009   0.000000e+000   -1.989254e-009   -7.090310e-010   -7.813652e-011
 5373.949968    5000.994265     194.819192     178.136511   -8.302529e-003   6.340381e-003   -5.721286e-009   0.000000e+000   -2.232746e-009   -1.743882e-009   -1.744658e-009
 5381.150951    4999.172148     198.485287     183.493517   -5.445822e-003   -1.721047e-003   -1.443813e-009   0.000000e+000   -1.561257e-009   -2.232329e-011   1.397673e-010
 5376.605410    4998.549147     202.772436     175.283827   6.247117e-003   4.358160e-003   8.866908e-010   0.000000e+000   5.288180e-010   1.505577e-009   -1.147704e-009
 5384.859066    5002.431165     200.304214     182.123686   2.842517e-003   -5.362996e-003   7.393691e-010   0.000000e+000   1.675905e-009   -6.946538e-010   -2.418818e-010
 5385.422684    5003.341769     199.095713     182.985201   3.532446e-003   -5.957980e-003   1.001708e-009   0.000000e+000   1.318272e-009   -4.249055e-010   1.083421e-010
 5377.835572    4998.544171     201.398255     177.893147   -1.185831e-002   1.612843e-003   -1.581397e-009   0.000000e+000   -2.402439e-011   5.226570e-010   -2.080029e-009
 5377.351507    5002.424156     196.761083     178.166268   -2.986365e-003   2.821529e-003   -2.304506e-009   0.000000e+000   -2.785565e-010   -3.792767e-010   -1.646673e-009
 5378.610747    4994.129801     203.181566     181.299381   -1.263339e-002   6.656867e-004   -3.367462e-009   0.000000e+000   -1.889192e-009   -1.255243e-009   -2.230264e-010
 5386.005515    4996.800441     204.115415     185.089659   3.217987e-003   -6.648614e-003   1.501865e-009   0.000000e+000   3.971946e-010   1.778636e-010   9.268071e-010
 5374.177576    4999.600025     198.855225     175.722326   4.959834e-003   7.054867e-003   -3.753311e-010   0.000000e+000   -1.167167e-009   1.036340e-009   -2.445036e-010
 5378.878090    4995.036584     202.089306     181.752200   8.054224e-005   1.293833e-003   -1.895498e-009   0.000000e+000   -1.914987e-009   -1.106327e-009   1.125816e-009
 5378.015467    4998.570343     203.601897     175.843227   1.691001e-003   2.402922e-003   1.441184e-009   0.000000e+000   1.224126e-009   9.416704e-010   -7.246130e-010
 5376.979120    4996.798539     202.323083     177.857499   -9.059384e-003   2.802547e-003   -2.771713e-009   0.000000e+000   -7.478357e-010   -7.637834e-010   -1.260094e-009
