-0.005705   -0.000453   0.998471   0.998488        1.576502    1.571250    0.998488        1.565064    -3.062361   0.998488
0.005740   0.000442   0.998422   0.998439        1.565057    1.570353    0.998439        1.565031    0.076935   0.998439
-0.005741   -0.000440   0.998373   0.998390        1.576537    1.571237    0.998390        1.565029    -3.065111   0.998390
0.005656   0.000413   0.998325   0.998341        1.565140    1.570383    0.998341        1.565115    0.072837   0.998341
-0.005670   -0.000424   0.998277   0.998293        1.576466    1.571221    0.998293        1.565101    -3.066893   0.998293
0.005642   0.000462   0.998228   0.998244        1.565154    1.570334    0.998244        1.565125    0.081615   0.998244
-0.005646   -0.000400   0.998179   0.998195        1.576442    1.571197    0.998195        1.565126    -3.070884   0.998195
0.005599   0.000432   0.998130   0.998145        1.565197    1.570364    0.998145        1.565170    0.077005   0.998145
-0.005570   -0.000473   0.998081   0.998096        1.576366    1.571270    0.998096        1.565196    -3.056962   0.998096
0.005573   0.000447   0.998031   0.998047        1.565223    1.570349    0.998047        1.565194    0.079972   0.998047
-0.005606   -0.000448   0.997983   0.997999        1.576402    1.571245    0.997999        1.565161    -3.061929   0.997999
0.005553   0.000468   0.997934   0.997949        1.565243    1.570327    0.997949        1.565212    0.084118   0.997949
-0.005530   -0.000489   0.997884   0.997900        1.576327    1.571286    0.997900        1.565233    -3.053443   0.997900
0.005537   0.000483   0.997835   0.997850        1.565259    1.570313    0.997850        1.565226    0.086949   0.997850
-0.005497   -0.000435   0.997785   0.997801        1.576293    1.571233    0.997801        1.565270    -3.062572   0.997801
0.005466   0.000449   0.997736   0.997751        1.565330    1.570346    0.997751        1.565300    0.082052   0.997751
-0.005443   -0.000455   0.997686   0.997701        1.576240    1.571252    0.997701        1.565322    -3.058284   0.997701
0.005482   0.000407   0.997637   0.997652        1.565314    1.570388    0.997652        1.565286    0.074110   0.997652
-0.005471   -0.000398   0.997587   0.997602        1.576267    1.571195    0.997602        1.565298    -3.069052   0.997602
0.005414   0.000393   0.997539   0.997553        1.565382    1.570403    0.997553        1.565355    0.072419   0.997553
-0.005357   -0.000436   0.997490   0.997504        1.576153    1.571234    0.997504        1.565408    -3.060301   0.997504
0.005350   0.000438   0.997442   0.997457        1.565446    1.570357    0.997457        1.565414    0.081630   0.997457
-0.005327   -0.000420   0.997393   0.997407        1.576123    1.571217    0.997407        1.565439    -3.062935   0.997407
0.005258   0.000488   0.997345   0.997359        1.565538    1.570307    0.997359        1.565501    0.092544   0.997359
-0.005196   -0.000500   0.997296   0.997310        1.575992    1.571298    0.997310        1.565562    -3.045639   0.997310
0.005182   0.000488   0.997250   0.997263        1.565615    1.570306    0.997263        1.565577    0.093998   0.997263
-0.005110   -0.000482   0.997202   0.997215        1.575907    1.571280    0.997215        1.565649    -3.047495   0.997215
0.005059   0.000466   0.997155   0.997168        1.565737    1.570329    0.997168        1.565701    0.091773   0.997168
-0.005074   -0.000514   0.997108   0.997121        1.575871    1.571312    0.997121        1.565681    -3.040684   0.997121
0.005039   0.000564   0.997061   0.997074        1.565757    1.570230    0.997074        1.565711    0.111503   0.997074
-0.004987   -0.000495   0.997014   0.997026        1.575783    1.571293    0.997026        1.565770    -3.042599   0.997026
0.004922   0.000507   0.996967   0.996980        1.565875    1.570288    0.996980        1.565834    0.102612   0.996980
-0.004875   -0.000514   0.996921   0.996933        1.575672    1.571312    0.996933        1.565879    -3.036545   0.996933
0.004847   0.000541   0.996875   0.996887        1.565950    1.570254    0.996887        1.565904    0.111140   0.996887
-0.004777   -0.000499   0.996830   0.996841        1.575573    1.571297    0.996841        1.565978    -3.037429   0.996841
0.004725   0.000490   0.996784   0.996795        1.566072    1.570305    0.996795        1.566031    0.103252   0.996795
-0.004693   -0.000506   0.996738   0.996749        1.575490    1.571304    0.996749        1.566060    -3.034146   0.996749
0.004687   0.000524   0.996693   0.996704        1.566109    1.570271    0.996704        1.566064    0.111272   0.996704
-0.004664   -0.000520   0.996647   0.996658        1.575460    1.571318    0.996658        1.566088    -3.030517   0.996658
0.004623   0.000551   0.996602   0.996613        1.566173    1.570243    0.996613        1.566125    0.118686   0.996613
-0.004544   -0.000524   0.996557   0.996568        1.575340    1.571322    0.996568        1.566206    -3.026837   0.996568
0.004541   0.000484   0.996513   0.996523        1.566256    1.570311    0.996523        1.566214    0.106205   0.996523
-0.004529   -0.000473   0.996468   0.996478        1.575326    1.571271    0.996478        1.566226    -3.037549   0.996478
