-1.4625000	-1.3875000	-1.3125000	-1.2375000	-1.1625000	-1.0875000	-1.0125000	-0.9375000	-0.8625000	-0.7875000	-0.7125000	-0.6375000	-0.5625000	-0.4875000	-0.4125000	-0.3375000	-0.2625000	-0.1875000	-0.1125000	-0.0375000	 0.0375000	 0.1125000	 0.1875000	 0.2625000	 0.3375000	 0.4125000	 0.4875000	 0.5625000	 0.6375000	 0.7125000	 0.7875000	 0.8625000	 0.9375000	 1.0125000	 1.0875000	 1.1625000	 1.2375000	 1.3125000	 1.3875000	 1.4625000	
 -1.312	8.308E-01	7.922E-01	9.211E-01	8.912E-01	7.010E-01	8.359E-01	8.508E-01	8.833E-01	8.744E-01	9.840E-01	9.326E-01	8.864E-01	8.580E-01	9.090E-01	8.825E-01	8.270E-01	8.369E-01	8.167E-01	7.532E-01	8.107E-01	9.258E-01	8.616E-01	9.401E-01	9.008E-01	7.362E-01	7.660E-01	8.233E-01	9.103E-01	9.851E-01	9.805E-01	8.646E-01	9.291E-01	9.618E-01	9.851E-01	7.968E-01	9.164E-01	9.044E-01	6.784E-01	9.813E-01	7.215E-01	
 -1.188	9.008E-01	8.737E-01	9.797E-01	9.736E-01	7.299E-01	8.028E-01	8.925E-01	8.108E-01	8.562E-01	8.079E-01	8.497E-01	9.142E-01	8.368E-01	8.887E-01	9.055E-01	9.016E-01	9.840E-01	8.647E-01	6.755E-01	9.822E-01	9.333E-01	7.850E-01	9.839E-01	9.083E-01	9.942E-01	8.479E-01	7.114E-01	8.506E-01	8.190E-01	8.576E-01	7.125E-01	6.335E-01	8.593E-01	8.361E-01	8.177E-01	8.214E-01	9.357E-01	9.376E-01	7.160E-01	8.779E-01	
 -1.062	9.187E-01	9.866E-01	8.801E-01	8.794E-01	7.915E-01	9.738E-01	8.750E-01	8.991E-01	8.655E-01	8.727E-01	8.672E-01	7.484E-01	8.726E-01	8.744E-01	7.889E-01	7.720E-01	8.788E-01	8.888E-01	8.451E-01	8.711E-01	9.328E-01	9.239E-01	8.564E-01	8.232E-01	8.192E-01	8.640E-01	9.764E-01	7.315E-01	8.453E-01	8.373E-01	8.687E-01	8.481E-01	7.557E-01	8.833E-01	8.310E-01	8.557E-01	7.587E-01	7.446E-01	7.843E-01	9.925E-01	
 -0.938	9.376E-01	9.336E-01	8.669E-01	9.298E-01	8.164E-01	9.345E-01	8.618E-01	9.227E-01	7.835E-01	9.854E-01	7.792E-01	8.829E-01	8.536E-01	8.753E-01	8.693E-01	9.447E-01	8.627E-01	9.377E-01	8.256E-01	9.210E-01	8.865E-01	6.874E-01	9.010E-01	8.058E-01	8.080E-01	8.132E-01	9.871E-01	8.361E-01	9.404E-01	9.245E-01	9.814E-01	8.076E-01	8.743E-01	9.124E-01	9.820E-01	7.667E-01	8.718E-01	9.227E-01	8.037E-01	8.978E-01	
 -0.812	9.308E-01	7.463E-01	8.064E-01	9.230E-01	8.729E-01	9.893E-01	9.354E-01	8.896E-01	9.332E-01	7.526E-01	9.304E-01	9.845E-01	9.415E-01	8.723E-01	8.753E-01	7.072E-01	7.926E-01	9.240E-01	7.579E-01	9.360E-01	8.459E-01	9.401E-01	8.531E-01	8.384E-01	6.375E-01	6.105E-01	9.895E-01	8.068E-01	7.914E-01	8.617E-01	8.913E-01	9.428E-01	7.654E-01	8.120E-01	8.979E-01	8.919E-01	7.799E-01	9.361E-01	7.160E-01	9.232E-01	
 -0.688	8.351E-01	9.406E-01	9.081E-01	9.356E-01	8.845E-01	9.259E-01	9.785E-01	9.408E-01	7.936E-01	8.793E-01	8.150E-01	9.861E-01	9.156E-01	8.487E-01	8.073E-01	8.517E-01	6.159E-01	8.890E-01	8.707E-01	8.968E-01	9.339E-01	8.947E-01	8.726E-01	8.386E-01	8.685E-01	9.363E-01	9.033E-01	7.694E-01	9.224E-01	7.798E-01	8.828E-01	9.080E-01	8.737E-01	7.496E-01	8.331E-01	7.526E-01	8.666E-01	8.634E-01	9.140E-01	8.610E-01	
 -0.562	7.791E-01	8.525E-01	8.994E-01	8.608E-01	8.789E-01	8.662E-01	9.841E-01	8.488E-01	9.803E-01	9.809E-01	9.021E-01	8.413E-01	8.790E-01	9.882E-01	8.520E-01	8.195E-01	6.833E-01	8.531E-01	9.426E-01	8.814E-01	9.330E-01	9.405E-01	9.375E-01	8.311E-01	8.012E-01	8.900E-01	8.210E-01	8.781E-01	9.370E-01	9.839E-01	9.845E-01	8.639E-01	9.312E-01	9.914E-01	9.733E-01	7.123E-01	8.928E-01	9.078E-01	9.831E-01	8.657E-01	
 -0.438	8.071E-01	8.387E-01	8.222E-01	9.743E-01	6.665E-01	9.785E-01	9.203E-01	8.830E-01	9.347E-01	8.470E-01	7.620E-01	8.688E-01	8.039E-01	9.095E-01	8.621E-01	9.758E-01	7.798E-01	8.455E-01	8.960E-01	7.366E-01	9.066E-01	9.274E-01	9.734E-01	8.832E-01	6.810E-01	9.811E-01	8.172E-01	9.180E-01	9.797E-01	9.852E-01	9.429E-01	9.189E-01	7.173E-01	8.860E-01	7.058E-01	8.140E-01	8.817E-01	9.250E-01	7.884E-01	9.274E-01	
 -0.312	8.392E-01	7.922E-01	7.067E-01	9.140E-01	9.340E-01	9.259E-01	6.798E-01	8.479E-01	8.347E-01	9.472E-01	6.264E-01	7.750E-01	6.713E-01	8.480E-01	8.347E-01	9.380E-01	8.769E-01	9.012E-01	8.492E-01	7.595E-01	8.785E-01	8.589E-01	8.612E-01	8.799E-01	8.411E-01	9.165E-01	7.712E-01	8.178E-01	8.493E-01	7.991E-01	8.347E-01	9.093E-01	9.369E-01	8.663E-01	8.628E-01	9.406E-01	8.975E-01	7.714E-01	8.716E-01	9.286E-01	
 -0.188	9.784E-01	9.033E-01	9.098E-01	8.584E-01	8.819E-01	9.064E-01	9.315E-01	9.204E-01	8.782E-01	9.310E-01	8.803E-01	7.854E-01	7.460E-01	8.772E-01	6.529E-01	9.321E-01	8.123E-01	9.480E-01	8.586E-01	8.947E-01	7.173E-01	8.688E-01	8.099E-01	6.833E-01	9.317E-01	9.756E-01	9.789E-01	8.084E-01	8.952E-01	8.389E-01	8.748E-01	8.421E-01	8.954E-01	8.625E-01	7.899E-01	5.402E-01	9.720E-01	7.723E-01	8.565E-01	8.872E-01	
